Name,Sex,Equipment,Age,Division,BodyweightKg,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Place,Wilks,Place_capp,Age_capp,BodyweightKg_capp,BestSquatKg_capp,BestBenchKg_capp,BestDeadliftKg_capp,TotalKg_capp,Wilks_capp,Place_log,Place_inv,Place_cuadratica,Place_BC,Place_YJ,Name_log,Name_inv,Name_cuadratica,Name_BC,Name_YJ,Age_log,Age_inv,Age_cuadratica,Age_BC,Age_YJ,Division_log,Division_inv,Division_cuadratica,Division_BC,Division_YJ,BodyweightKg_log,BodyweightKg_inv,BodyweightKg_cuadratica,BodyweightKg_BC,BodyweightKg_YJ,WeightClassKg_log,WeightClassKg_inv,WeightClassKg_cuadratica,WeightClassKg_BC,WeightClassKg_YJ,BestSquatKg_log,BestSquatKg_inv,BestSquatKg_cuadratica,BestSquatKg_BC,BestSquatKg_YJ,BestBenchKg_log,BestBenchKg_inv,BestBenchKg_cuadratica,BestBenchKg_BC,BestBenchKg_YJ,BestDeadliftKg_log,BestDeadliftKg_inv,BestDeadliftKg_cuadratica,BestDeadliftKg_BC,BestDeadliftKg_YJ,TotalKg_log,TotalKg_inv,TotalKg_cuadratica,TotalKg_BC,TotalKg_YJ,Wilks_log,Wilks_inv,Wilks_cuadratica,Wilks_BC,Wilks_YJ,Name_minMaxScaled,Sex_minMaxScaled,Equipment_minMaxScaled,Age_minMaxScaled,Division_minMaxScaled,BodyweightKg_minMaxScaled,WeightClassKg_minMaxScaled,BestSquatKg_minMaxScaled,BestBenchKg_minMaxScaled,BestDeadliftKg_minMaxScaled
1,96,119,47,3,59.6,19,47.63,20.41,70.31,138.35,359,155.05,359.0,47.0,59.6,115.55500000000004,20.41,73.33000000000003,138.35,155.05,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,0.0,1.0,1,0.0,0.529149302103667,3.8501476017100584,0.02127659574468085,2209,3.059425232585706,2.9141581060800155,1.0986122886681098,0.3333333333333333,9,1.1006924320392606,1.303885255913729,4.087655574071304,0.016778523489932886,3552.1600000000003,5.277942759081908,5.191486314526889,2.9444389791664403,0.05263157894736842,361,9.038667341838758,9.275859295988791,3.863462814812769,0.02099517111064455,2268.6169000000004,9.87337545815743,9.882542178375594,3.0160249768217535,0.04899559039686428,416.5681,24.031559604204585,25.530932351906714,4.25291403621107,0.014222727919214905,4943.4961,162.44918322250652,166.4767759526223,4.929786706232935,0.0072280448138778465,19140.7225,22.319128708499193,22.299732017707342,5.043747645546458,0.0064495324089003546,24040.502500000002,100.50810258536447,101.37874975989497,0.0,0.0,0.3992248062015504,0.6274509803921569,0.02247191011235955,0.08493435798911303,0.1595744680851064,0.0,0.0,0.0
12,96,16,42,7,58.51,19,142.88,95.25,163.29,401.42,359,456.38,359.0,42.0,58.51,142.88,95.25,163.29,401.42,456.38,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,2.4849066497880004,0.08333333333333333,144,1.5191816005325645,1.0730013486959127,3.7376696182833684,0.023809523809523808,1764,2.989255272843705,2.853129230184964,1.9459101490553132,0.14285714285714285,49,1.9524425459707042,1.897713463805614,4.069197679800145,0.017091095539224065,3423.4201,5.247814687751165,5.16296630744263,2.9444389791664403,0.05263157894736842,361,9.038667341838758,9.275859295988791,4.9620051171281885,0.006998880179171333,20414.6944,17.20306996686493,17.02952765044317,4.55650501400681,0.010498687664041995,9072.5625,134.31191990169438,137.22733355825335,5.0955277611142185,0.006124073733847756,26663.624099999997,467.49510445870067,475.02595154030865,5.995008260731347,0.002491156394798465,161138.01640000002,39.868104616204946,39.67502607335427,6.123325795818278,0.002191156492396687,208282.7044,265.67858723339526,267.14820979793467,0.5,0.0,0.0,0.5294117647058824,0.06741573033707865,0.07620877361511365,0.1595744680851064,0.2333243514685349,0.27965025035498103,0.30595590654820665
12,96,16,42,31,58.51,19,142.88,95.25,163.29,401.42,359,456.38,359.0,42.0,58.51,142.88,95.25,163.29,401.42,456.38,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,2.4849066497880004,0.08333333333333333,144,1.5191816005325645,1.0730013486959127,3.7376696182833684,0.023809523809523808,1764,2.989255272843705,2.853129230184964,3.4339872044851463,0.03225806451612903,961,3.4543654644624677,2.9805391341115977,4.069197679800145,0.017091095539224065,3423.4201,5.247814687751165,5.16296630744263,2.9444389791664403,0.05263157894736842,361,9.038667341838758,9.275859295988791,4.9620051171281885,0.006998880179171333,20414.6944,17.20306996686493,17.02952765044317,4.55650501400681,0.010498687664041995,9072.5625,134.31191990169438,137.22733355825335,5.0955277611142185,0.006124073733847756,26663.624099999997,467.49510445870067,475.02595154030865,5.995008260731347,0.002491156394798465,161138.01640000002,39.868104616204946,39.67502607335427,6.123325795818278,0.002191156492396687,208282.7044,265.67858723339526,267.14820979793467,0.5,0.0,0.0,0.5294117647058824,0.33707865168539325,0.07620877361511365,0.1595744680851064,0.2333243514685349,0.27965025035498103,0.30595590654820665
12,96,274,42,31,58.51,19,185.0,95.25,213.7,95.25,359,108.29,359.0,42.0,58.51,185.0,95.25,213.7,95.25,108.29,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,2.4849066497880004,0.08333333333333333,144,1.5191816005325645,1.0730013486959127,3.7376696182833684,0.023809523809523808,1764,2.989255272843705,2.853129230184964,3.4339872044851463,0.03225806451612903,961,3.4543654644624677,2.9805391341115977,4.069197679800145,0.017091095539224065,3423.4201,5.247814687751165,5.16296630744263,2.9444389791664403,0.05263157894736842,361,9.038667341838758,9.275859295988791,5.220355825078324,0.005405405405405406,34225.0,19.4877314511941,19.259107645679173,4.55650501400681,0.010498687664041995,9072.5625,134.31191990169438,137.22733355825335,5.364573162325102,0.004679457182966776,45667.689999999995,654.8207537918452,664.5115297249904,4.55650501400681,0.010498687664041995,9072.5625,18.10559943858335,18.132460174526393,4.6848128136402885,0.00923446301597562,11726.724100000001,72.61108898499016,73.40818201789546,0.5,0.0,1.0,0.5294117647058824,0.33707865168539325,0.07620877361511365,0.1595744680851064,0.33650148200769175,0.27965025035498103,0.47183283974991774
1,96,274,18,3,63.68,31,185.0,31.75,90.72,122.47,359,130.47,359.0,18.0,63.68,185.0,31.75,90.72,122.47,130.47,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,0.0,1.0,1,0.0,0.529149302103667,2.8903717578961645,0.05555555555555555,324,2.4279006354178527,2.3660662386833464,1.0986122886681098,0.3333333333333333,9,1.1006924320392606,1.303885255913729,4.1538705415361274,0.015703517587939697,4055.1424,5.38657413417126,5.294339914090111,3.4339872044851463,0.03225806451612903,961,13.054990398576344,13.150220544934387,5.220355825078324,0.005405405405405406,34225.0,19.4877314511941,19.259107645679173,3.457892725338701,0.031496062992125984,1008.0625,39.594326714450325,41.29080989206539,4.507777839979442,0.011022927689594356,8230.1184,223.7334766687891,228.4766403516843,4.807866102033196,0.008165264962848045,14998.9009,20.853671647882035,20.849887543893946,4.871143315277656,0.0076645972254158045,17022.4209,85.97572908182323,86.80617192799149,0.0,0.0,1.0,0.058823529411764705,0.02247191011235955,0.11759526096701889,0.2872340425531915,0.33650148200769175,0.042373514685001126,0.0671602500822639
1,96,119,28,31,62.41,31,170.1,77.11,145.15,392.36,359,424.4,359.0,28.0,62.41,170.1,77.11,145.15,392.36,424.4,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,0.0,1.0,1,0.0,0.529149302103667,3.332204510175204,0.03571428571428571,784,2.7279985592615907,2.6258894793815504,3.4339872044851463,0.03225806451612903,961,3.4543654644624677,2.9805391341115977,4.133725518945951,0.01602307322544464,3895.0080999999996,5.353432977606432,5.262958286182635,3.4339872044851463,0.03225806451612903,961,13.054990398576344,13.150220544934387,5.136386499401816,0.005878894767783657,28934.01,18.717284528464273,18.507275624169637,4.345232973844869,0.012968486577616392,5945.9520999999995,106.33223065910155,108.87690816900262,4.977767690470639,0.006889424733034792,21068.522500000003,403.3641442997685,410.1616389094563,5.972179785696115,0.002548679783871954,153946.3696,39.38332719841065,39.194967453186266,6.050676406739828,0.0023562676720075403,180115.36,248.9005566193994,250.301984229894,0.0,0.0,0.3992248062015504,0.2549019607843137,0.33707865168539325,0.10742875440281777,0.2872340425531915,0.30000244959949046,0.21186757342500565,0.24626521882198094
8,96,274,60,2,67.31,31,124.74,95.25,163.29,383.28,359,391.98,359.0,60.0,67.31,124.74,95.25,163.29,383.28,391.98,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,2.0794415416798357,0.125,64,1.368676495565059,1.0203007328887388,4.0943445622221,0.016666666666666666,3600,3.208431519835947,3.0435941428633666,0.6931471805599453,0.5,4,0.693974842741877,1.0464201017563508,4.209308814022622,0.01485663348685188,4530.636100000001,5.478192394324196,5.381106488395138,3.4339872044851463,0.03225806451612903,961,13.054990398576344,13.150220544934387,4.826231571097977,0.00801667468334135,15560.067599999998,16.09991714488309,15.952918430783928,4.55650501400681,0.010498687664041995,9072.5625,134.31191990169438,137.22733355825335,5.0955277611142185,0.006124073733847756,26663.624099999997,467.49510445870067,475.02595154030865,5.948765792574867,0.002609058651638489,146903.55839999998,38.89195205500267,38.70837329897087,5.971210818080714,0.0025511505689065767,153648.32040000003,231.7541994602609,233.0871823606864,0.3181818181818182,0.0,1.0,0.8823529411764706,0.011235955056179775,0.14665385846942045,0.2872340425531915,0.1888886167111677,0.27965025035498103,0.30595590654820665
8,96,274,60,31,67.31,31,124.74,95.25,163.29,383.28,359,391.98,359.0,60.0,67.31,124.74,95.25,163.29,383.28,391.98,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,2.0794415416798357,0.125,64,1.368676495565059,1.0203007328887388,4.0943445622221,0.016666666666666666,3600,3.208431519835947,3.0435941428633666,3.4339872044851463,0.03225806451612903,961,3.4543654644624677,2.9805391341115977,4.209308814022622,0.01485663348685188,4530.636100000001,5.478192394324196,5.381106488395138,3.4339872044851463,0.03225806451612903,961,13.054990398576344,13.150220544934387,4.826231571097977,0.00801667468334135,15560.067599999998,16.09991714488309,15.952918430783928,4.55650501400681,0.010498687664041995,9072.5625,134.31191990169438,137.22733355825335,5.0955277611142185,0.006124073733847756,26663.624099999997,467.49510445870067,475.02595154030865,5.948765792574867,0.002609058651638489,146903.55839999998,38.89195205500267,38.70837329897087,5.971210818080714,0.0025511505689065767,153648.32040000003,231.7541994602609,233.0871823606864,0.3181818181818182,0.0,1.0,0.8823529411764706,0.33707865168539325,0.14665385846942045,0.2872340425531915,0.1888886167111677,0.27965025035498103,0.30595590654820665
2,96,119,52,1,65.95,31,120.2,54.43,108.86,283.49,359,294.25,359.0,52.0,65.95,120.2,54.43,108.86,283.49,294.25,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,0.6931471805599453,0.5,4,0.5984408214902136,0.7249803761613709,3.9512437185814275,0.019230769230769232,2704,3.121662372504768,2.9682537666183246,0.0,1.0,1,0.0,0.6721218970460623,4.188896879163323,0.015163002274450341,4349.4025,5.444388279459651,5.349090488754701,3.4339872044851463,0.03225806451612903,961,13.054990398576344,13.150220544934387,4.789157022101107,0.008319467554076539,14448.04,15.809665546186395,15.669659090487716,3.9969154724461085,0.018372221201543266,2962.6249,72.26709556349768,74.37318196179194,4.690062653006054,0.009186110600771633,11850.4996,281.2263770898913,286.6297637732518,5.647176849177081,0.0035274612861123846,80366.5801,33.06099940939322,32.93413120125579,5.6844297461403865,0.0033984706881903144,86583.0625,179.08720477799864,180.21926587326158,0.045454545454545456,0.0,0.3992248062015504,0.7254901960784313,0.0,0.1357668908101185,0.2872340425531915,0.17776743502437348,0.12712054405500336,0.12685093780848963
2,96,274,52,2,65.95,31,185.0,193.15,108.86,108.86,359,112.99,359.0,52.0,65.95,185.0,193.15,108.86,108.86,112.99,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,0.6931471805599453,0.5,4,0.5984408214902136,0.7249803761613709,3.9512437185814275,0.019230769230769232,2704,3.121662372504768,2.9682537666183246,0.6931471805599453,0.5,4,0.693974842741877,1.0464201017563508,4.188896879163323,0.015163002274450341,4349.4025,5.444388279459651,5.349090488754701,3.4339872044851463,0.03225806451612903,961,13.054990398576344,13.150220544934387,5.220355825078324,0.005405405405405406,34225.0,19.4877314511941,19.259107645679173,5.26346708911229,0.0051773233238415735,37306.9225,292.8191107360198,297.9805913288933,4.690062653006054,0.009186110600771633,11850.4996,281.2263770898913,286.6297637732518,4.690062653006054,0.009186110600771633,11850.4996,19.5217891615713,19.53259632478542,4.727299319221155,0.008850340738118419,12766.740099999999,75.46554160889379,76.26941736137358,0.045454545454545456,0.0,1.0,0.7254901960784313,0.011235955056179775,0.1357668908101185,0.2872340425531915,0.33650148200769175,0.6454674538524775,0.12685093780848963
2,96,119,24,1,65.5,31,138.35,65.77,136.08,340.2,359,354.89,359.0,24.0,65.5,138.35,65.77,136.08,340.2,354.89,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,0.6931471805599453,0.5,4,0.5984408214902136,0.7249803761613709,3.1780538303479458,0.041666666666666664,576,2.6251653769287584,2.536618700739523,0.0,1.0,1,0.0,0.6721218970460623,4.182050142641207,0.015267175572519083,4290.25,5.433067982676156,5.338369497945712,3.4339872044851463,0.03225806451612903,961,13.054990398576344,13.150220544934387,4.929786706232935,0.0072280448138778465,19140.7225,16.935466454421153,16.768361281691572,4.186163807313259,0.015204500532157519,4325.692899999999,89.15614249873198,91.47790895092447,4.913242948087606,0.00734861845972957,18517.766400000004,372.0300628661082,378.4699305282203,5.829533679961761,0.0029394473838918285,115736.04,36.47884187150341,36.31872370014701,5.8718078823042195,0.002817774521682775,125946.91209999999,211.9517722930901,213.20743680572346,0.045454545454545456,0.0,0.3992248062015504,0.17647058823529413,0.0,0.13216458533461414,0.2872340425531915,0.22222766577664552,0.1694940587400045,0.2164198749588681
2,96,119,56,5,71.21,51,120.2,43.09,129.27,292.56,359,287.67,359.0,56.0,71.21,120.2,43.09,129.27,292.56,287.67,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,0.6931471805599453,0.5,4,0.5984408214902136,0.7249803761613709,4.02535169073515,0.017857142857142856,3136,3.1667904800556284,3.007450915412546,1.6094379124341003,0.2,25,1.6139048264807185,1.6557081797987756,4.2656332579940335,0.014042971492767871,5070.864099999999,5.571902162094856,5.469869866807479,3.9318256327243257,0.0196078431372549,2601,18.709409892199126,18.615711172499566,4.789157022101107,0.008319467554076539,14448.04,15.809665546186395,15.669659090487716,3.763290951627747,0.023207240659085634,1856.7481000000002,55.71924797430095,57.61705480119458,4.861903240295856,0.007735746886361878,16710.732900000003,348.8435892015439,355.0189550131398,5.678669773841126,0.003418102269619907,85591.3536,33.628754700958154,33.496355441482464,5.6618139898337,0.0034762053742135083,82754.0289,175.48015550045042,176.5990567731212,0.045454545454545456,0.0,0.3992248062015504,0.803921568627451,0.0449438202247191,0.17787383925712452,0.5,0.17776743502437348,0.08474702937000227,0.19401118789075358
2,96,119,56,31,71.21,51,120.2,43.09,129.27,292.56,359,287.67,359.0,56.0,71.21,120.2,43.09,129.27,292.56,287.67,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,0.6931471805599453,0.5,4,0.5984408214902136,0.7249803761613709,4.02535169073515,0.017857142857142856,3136,3.1667904800556284,3.007450915412546,3.4339872044851463,0.03225806451612903,961,3.4543654644624677,2.9805391341115977,4.2656332579940335,0.014042971492767871,5070.864099999999,5.571902162094856,5.469869866807479,3.9318256327243257,0.0196078431372549,2601,18.709409892199126,18.615711172499566,4.789157022101107,0.008319467554076539,14448.04,15.809665546186395,15.669659090487716,3.763290951627747,0.023207240659085634,1856.7481000000002,55.71924797430095,57.61705480119458,4.861903240295856,0.007735746886361878,16710.732900000003,348.8435892015439,355.0189550131398,5.678669773841126,0.003418102269619907,85591.3536,33.628754700958154,33.496355441482464,5.6618139898337,0.0034762053742135083,82754.0289,175.48015550045042,176.5990567731212,0.045454545454545456,0.0,0.3992248062015504,0.803921568627451,0.33707865168539325,0.17787383925712452,0.5,0.17776743502437348,0.08474702937000227,0.19401118789075358
1,96,119,54,3,70.58,51,102.06,74.84,106.59,283.49,359,280.44,359.0,54.0,70.58,115.55500000000004,74.84,106.59,283.49,280.44,5.883322388488279,0.002785515320334262,128881,113139.3877578958,149400.37888986676,0.0,1.0,1,0.0,0.529149302103667,3.9889840465642745,0.018518518518518517,2916,3.144696347115271,2.9882637735557327,1.0986122886681098,0.3333333333333333,9,1.1006924320392606,1.303885255913729,4.256746818247124,0.014168319637291017,4981.5364,5.557075190221885,5.4558245917097885,3.9318256327243257,0.0196078431372549,2601,18.709409892199126,18.615711172499566,4.625560875635825,0.009798157946306094,10416.2436,14.5824953161319,14.472154342174072,4.315352501405889,0.013361838588989844,5601.025600000001,102.87302823003343,105.37252093231906,4.668989698701045,0.009381743127873158,11361.428100000001,273.89065093086884,279.2100985183963,5.647176849177081,0.0035274612861123846,80366.5801,33.06099940939322,32.93413120125579,5.636359798338767,0.00356582513193553,78646.5936,171.50668446598132,172.61119164553392,0.0,0.0,0.3992248062015504,0.7647058823529411,0.02247191011235955,0.1728306115914185,0.5,0.13333170026700633,0.2033853972049922,0.11938137545245148
